Observer,Date,Precipitation,Cloud,Fog ,Wind,Temperature ,Name,UTM,Order,Plant
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302222, N: 4772976",Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302209, N: 4772983",Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302205, N: 4772987",Hymenoptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302192 / 4772995,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302181 / 4773007,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302127 / 4773042,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302040 / 4772991,Diptera,Queen Ann's Lace
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302022 / 4772961,Lepidoptera,Canadian Thistle
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302006 / 4772937,Hymenoptera,Crown Vetch
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301935 / 4772860,Hymenoptera,Purple Cone Flower
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301936 / 4772804,Coleoptera,Unknown
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301938 / 4772799,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301990 / 4772632,Hymenoptera,Unknown
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302079 / 4772713,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302081 / 4772718,Coleoptera,Red Clover
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302261 / 4772842,Hymenoptera,White Clover
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302223 / 4772975,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302223 / 4772975,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302212 / 4772992,Diptera,Sunflower
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304273 / 4772216,Hymenoptera,Unknown
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304309 / 4772206,Diptera,White Avens 
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304376 / 4772100,Hymenoptera,Wild Mint
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304349 / 4772200,Hymenoptera,Common Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303183, N: 4773397",Hymenoptera,Butterfly Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303170, N: 4773391",Diptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773587",Hymenoptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303386, N: 4773587",Hymenoptera,Ox Aye
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303418, N: 4773617",Diptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773604",Hymenoptera,Ox Aye
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773587",Hymenoptera,Tall Bellflower
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303387, N: 4773586",Hymenoptera,Butterfly Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303387, N: 4773586",Hymenoptera,Wild Mint
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303373, N: 4773594",Hymenoptera,Bee Balm
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303399, N: 4773616",Diptera,Bee Balm
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303400, N: 4773616",Hymenoptera,Milfoil
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303358, N: 4773569",Hymenoptera,Black Eyed Susan
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303023, N: 4773298",Hymenoptera,Bee Balm
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303023, N: 4773298",Hymenoptera,Wild Mint
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302334, N: 4773476",Hymenoptera,Unknown
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302314, N: 4773471",Hymenoptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302305, N: 4773470",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302310, N: 4773470",Hymenoptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302307, N: 4773472",Hymenoptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302308, N: 4773478",Diptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302295, N: 4773500",Hymenoptera,Purple Cone Flower
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302296, N: 4773500",Hymenoptera,Purple Cone Flower
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302293, N: 4773528",Diptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302303, N: 4773559",Diptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302305, N: 4773571",Diptera,Black Eyed Susan
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302306, N: 4773616",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302329, N: 4773635",Coleoptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302346, N: 4773629",Diptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302347, N: 4773627",Hymenoptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302350, N: 4773615",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302353, N: 4773590",Coleoptera,Red Clover
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302350, N: 4773552",Coleoptera,Red Clover
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302346, N: 4773548",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302350, N: 4773495",Hemiptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302299, N: 4773493",Hymenoptera,Purple Cone Flower
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302313, N: 4773524",Coleoptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302312, N: 4773524",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302314, N: 4773535",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302311, N: 4773533",Diptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302301, N: 4773535",Coleoptera,Daisy Fleabane
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302347, N: 4773482",Diptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302307, N: 4773473",Diptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302307, N: 477373",Hymenoptera,Common Cinquefoil
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302306, N: 4773495",Diptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302299, N: 4773496",Coleoptera,Purple Cone Flower
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302297, N: 4773508",Hymenoptera,Ox Aye
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302304, N: 4773609",Coleoptera,Red Clover
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302305, N: 4773617",Coleoptera,Red Clover
Group 5,6/22/15,N,PC,LW,N,79,Biocore Prairie,"E: 0302320, N: 4773476",Diptera,Ox Aye
Group 5,6/29/15,N,PC,LW,N,77,Big Woods,"E: 0301560, N: 4773173",Hymenoptera,Yellow Sweet Clover
Group 5,6/29/15,N,PC,LW,N,77,Big Woods,"E: 0301576, N: 4773173",Hemiptera,Yellow Sweet Clover
Group 5,6/29/15,N,PC,LW,N,77,Big Woods,"E: 0301573, N: 4773174",Hemiptera,Daisy Fleabane
Group 5,6/29/15,N,PC,LW,N,77,Big Woods,"E: 0301574, N: 4773171",Coleoptera,White Avens
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0301996, N: 4772936",Hemiptera,Canadian Thistle
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0301998, N: 4772932",Diptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0301997, N: 4772931",Hymenoptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302021, N: 4772956",Hymenoptera,Crown Vetch
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302017, N: 4772952",Hymenoptera,White Clover
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302025, N: 4772961",Hemiptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302033, N: 4772983",Diptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302029, N: 4772976",Hemiptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302041, N: 4772989",Hymenoptera,White Clover
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,E: 0302143 N: 4773035,Hymenoptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302178, N: 4773004",Diptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302180, N: 4773001",Diptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302182, N: 4773001",Diptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302184, N: 4772999",Coleoptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302185, N: 4772999",Coleoptera,Daisy Fleabane
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302187, N: 4772997",Hemiptera,Black Eyed Susan
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302193, N: 4772996",Diptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302205, N: 4772986",Diptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302241, N: 4772963",Diptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302324, N: 4772773",Hymenoptera,Common Milkweed
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302298, N: 4772772",Hymenoptera,White Sweet Clover
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302258, N: 4772818",Diptera,Queen Ann's Lace
Group 5,7/6/15,N,C,LW,C,71,Class of 1918 Marsh,"E: 0302216, N: 4772822",Hymenoptera,Queen Ann's Lace
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304367, N: 4772071",Hymenoptera,White Clover
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304372, N: 4772077",Hymenoptera,White Clover
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304273, N: 4772163",Coleoptera,White Avens
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304207, N: 4772183",Coleoptera,Common Cinquefoil
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304190, N: 4772075",Coleoptera,Wild Rose
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304186, N: 4772075",Hymenoptera,Wild Rose
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304198, N: 4772071",Hymenoptera,Yellow Pimpernel
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304202, N: 4772074",Hymenoptera,Unknown
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304241, N: 4772067",Hymenoptera,White Clover
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304286, N: 4772065",Hymenoptera,Wild Mint
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304286, N: 772065",Hemiptera,Wild Mint
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304290, N: 4772064",Hymenoptera,Wild Mint
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304328, N: 4772070",Hymenoptera,Wild Mint
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304364, N: 4772092",Diptera,White Avens
Group 5,7/13/15,N,C,C,N,77,Muir Woods,"E: 0304364, N: 4772093",Hymenoptera,Wild Mint
